,budget,genres,id,imdb_id,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
0,300000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",299536.0,tt4154756,Avengers: Infinity War,76.719,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-25,2046239637.0,149.0,Avengers: Infinity War,8.3,15929.0
1,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",284054.0,tt1825683,Black Panther,36.027,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-02-13,1346739107.0,134.0,Black Panther,7.4,13710.0
2,170000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",351286.0,tt4881806,Jurassic World: Fallen Kingdom,34.309,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 10338, 'logo_path': '/el2ap6lvjcEDdbyJoB3oKiYgXu9.png', 'name': 'Perfect World Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-06,1303459585.0,129.0,Jurassic World: Fallen Kingdom,6.5,6615.0
3,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",260513.0,tt3606756,Incredibles 2,26.936,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-14,1241891456.0,118.0,Incredibles 2,7.5,7277.0
4,160000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",297802.0,tt1477834,Aquaman,28.084,"[{'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Comics', 'origin_country': 'US'}, {'id': 9993, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 11565, 'logo_path': None, 'name': 'The Safran Company', 'origin_country': 'US'}, {'id': 112502, 'logo_path': None, 'name': 'Rodeo FX', 'origin_country': ''}, {'id': 112611, 'logo_path': None, 'name': 'Panoramic Pictures', 'origin_country': 'CA'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-07,1143689193.0,144.0,Aquaman,6.8,7431.0
5,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",517141.0,,In The Mood For Surrealism or 8021,0.619,"[{'id': 108096, 'logo_path': None, 'name': 'Walid Motion Pictures Co., Ltd', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",2018-04-24,1000000000.0,2.0,In The Mood For Surrealism or 8021,0.0,0.0
6,52000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",424694.0,tt1727824,Bohemian Rhapsody,40.399,"[{'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 90995, 'logo_path': None, 'name': 'Queen Films', 'origin_country': 'GB'}, {'id': 11391, 'logo_path': None, 'name': 'Tribeca Productions', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/hNuGhsKVlmhnwSRcmOejDBDjh6w.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-24,894027543.0,135.0,Bohemian Rhapsody,8.0,9294.0
7,116000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",335983.0,tt1270797,Venom,42.301,"[{'id': 31828, 'logo_path': None, 'name': 'Avi Arad Productions', 'origin_country': 'US'}, {'id': 53462, 'logo_path': None, 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 84041, 'logo_path': None, 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-28,855013954.0,112.0,Venom,6.6,7501.0
8,178000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",353081.0,tt4912910,Mission: Impossible - Fallout,27.511,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 21777, 'logo_path': None, 'name': 'TC Productions', 'origin_country': ''}, {'id': 69484, 'logo_path': '/2xtmvbEse87LM7OJXVksv7DToZx.png', 'name': 'Alibaba Pictures Group', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NO', 'name': 'Norway'}]",2018-07-13,791017452.0,148.0,Mission: Impossible - Fallout,7.3,4354.0
9,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",383498.0,tt5463162,Deadpool 2,37.664,"[{'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-10,741547413.0,121.0,Deadpool 2,7.5,9931.0
10,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",338952.0,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,28.354,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-14,653355901.0,134.0,Fantastic Beasts: The Crimes of Grindelwald,6.9,5757.0
11,140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",363088.0,tt5095030,Ant-Man and the Wasp,28.433,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-07-04,622674139.0,119.0,Ant-Man and the Wasp,7.0,7322.0
12,175000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",333339.0,tt1677720,Ready Player One,21.304,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 2609, 'logo_path': '/ocmrEBfmecJvrbIM4C50vjYWtlq.png', 'name': 'De Line Pictures', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 444, 'logo_path': '/42UPdZl6B2cFXgNUASR8hSt9mpS.png', 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 11249, 'logo_path': None, 'name': 'Farah Films & Management', 'origin_country': ''}, {'id': 7294, 'logo_path': '/kK4PRgceWp9KNrycD8xx8seWxYU.png', 'name': 'Reliance Entertainment', 'origin_country': 'IN'}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-28,582890172.0,140.0,Ready Player One,7.6,7997.0
13,175000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",404368.0,tt5848272,Ralph Breaks the Internet,30.867,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tVPmo07IHhBs4HuilrcV0yujsZ9.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-20,529221154.0,112.0,Ralph Breaks the Internet,7.2,3458.0
14,75000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",360920.0,tt2709692,The Grinch,26.513,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination Entertainment', 'origin_country': 'US'}, {'id': 10338, 'logo_path': '/el2ap6lvjcEDdbyJoB3oKiYgXu9.png', 'name': 'Perfect World Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-08,508575295.0,90.0,The Grinch,6.4,1294.0
15,135000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",424783.0,tt4701182,Bumblebee,32.597,"[{'id': 2598, 'logo_path': '/i42C5gRq7XqlG4S9vkchuJZfrBn.png', 'name': 'Hasbro', 'origin_country': ''}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 57031, 'logo_path': None, 'name': 'Allspark Pictures', 'origin_country': ''}, {'id': 6734, 'logo_path': None, 'name': 'Bay Films', 'origin_country': ''}, {'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'Di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}, {'id': 38831, 'logo_path': None, 'name': 'Tom DeSanto/Don Murphy Production', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-15,465895025.0,114.0,Bumblebee,6.5,3079.0
16,36000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",332562.0,tt1517451,A Star Is Born,35.839,"[{'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road Pictures', 'origin_country': 'US'}, {'id': 83035, 'logo_path': None, 'name': '22 & Green', 'origin_country': 'US'}, {'id': 975, 'logo_path': None, 'name': 'Gerber Pictures', 'origin_country': 'US'}, {'id': 83036, 'logo_path': None, 'name': 'Joint Effort', 'origin_country': 'US'}, {'id': 171, 'logo_path': None, 'name': 'Malpaso Productions', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 81368, 'logo_path': '/srN5L2dTtbsb48VUHvpNG71pT7q.png', 'name': 'Live Nation Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-03,433888866.0,136.0,A Star Is Born,7.5,6876.0
17,120000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",427641.0,tt2231461,Rampage,19.431,"[{'id': 73118, 'logo_path': None, 'name': 'Wrigley Pictures', 'origin_country': 'US'}, {'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 105750, 'logo_path': None, 'name': '7 Bucks Entertainment', 'origin_country': ''}, {'id': 105751, 'logo_path': None, 'name': 'ASAP Entertainment', 'origin_country': ''}, {'id': 34081, 'logo_path': None, 'name': 'Flynn Picture Company', 'origin_country': 'US'}, {'id': 101832, 'logo_path': '/vO7CKIeogFxphT1CHkUIhjEXf2C.png', 'name': 'Twisted Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-12,426245950.0,107.0,Rampage,6.2,3551.0
18,250000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",348350.0,tt3778644,Solo: A Star Wars Story,31.174,"[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 47706, 'logo_path': None, 'name': 'Allison Shearmur Productions', 'origin_country': 'US'}, {'id': 23, 'logo_path': '/mkxNjThahj5pvntvYKVpMbWXm3D.png', 'name': 'Imagine Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-15,392952373.0,135.0,Solo: A Star Wars Story,6.6,4441.0
19,90000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",324857.0,tt4633694,Spider-Man: Into the Spider-Verse,46.87,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 2251, 'logo_path': '/6l16UFSkZ1oPpyBYaILgffFZlTc.png', 'name': 'Sony Pictures Animation', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': ''}, {'id': 77973, 'logo_path': None, 'name': 'Lord Miller', 'origin_country': ''}, {'id': 84041, 'logo_path': None, 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-06,375450417.0,117.0,Spider-Man: Into the Spider-Verse,8.4,5737.0
20,300000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",299536.0,tt4154756,Avengers: Infinity War,76.719,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-25,2046239637.0,149.0,Avengers: Infinity War,8.3,15929.0
21,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",284054.0,tt1825683,Black Panther,36.027,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-02-13,1346739107.0,134.0,Black Panther,7.4,13710.0
22,170000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",351286.0,tt4881806,Jurassic World: Fallen Kingdom,34.309,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 10338, 'logo_path': '/el2ap6lvjcEDdbyJoB3oKiYgXu9.png', 'name': 'Perfect World Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-06,1303459585.0,129.0,Jurassic World: Fallen Kingdom,6.5,6615.0
23,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",260513.0,tt3606756,Incredibles 2,26.936,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-14,1241891456.0,118.0,Incredibles 2,7.5,7277.0
24,160000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",297802.0,tt1477834,Aquaman,28.084,"[{'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Comics', 'origin_country': 'US'}, {'id': 9993, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 11565, 'logo_path': None, 'name': 'The Safran Company', 'origin_country': 'US'}, {'id': 112502, 'logo_path': None, 'name': 'Rodeo FX', 'origin_country': ''}, {'id': 112611, 'logo_path': None, 'name': 'Panoramic Pictures', 'origin_country': 'CA'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-07,1143689193.0,144.0,Aquaman,6.8,7431.0
25,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",517141.0,,In The Mood For Surrealism or 8021,0.619,"[{'id': 108096, 'logo_path': None, 'name': 'Walid Motion Pictures Co., Ltd', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",2018-04-24,1000000000.0,2.0,In The Mood For Surrealism or 8021,0.0,0.0
26,52000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",424694.0,tt1727824,Bohemian Rhapsody,40.399,"[{'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 90995, 'logo_path': None, 'name': 'Queen Films', 'origin_country': 'GB'}, {'id': 11391, 'logo_path': None, 'name': 'Tribeca Productions', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/hNuGhsKVlmhnwSRcmOejDBDjh6w.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-24,894027543.0,135.0,Bohemian Rhapsody,8.0,9294.0
27,116000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",335983.0,tt1270797,Venom,42.301,"[{'id': 31828, 'logo_path': None, 'name': 'Avi Arad Productions', 'origin_country': 'US'}, {'id': 53462, 'logo_path': None, 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 84041, 'logo_path': None, 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-28,855013954.0,112.0,Venom,6.6,7503.0
28,178000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",353081.0,tt4912910,Mission: Impossible - Fallout,27.511,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 21777, 'logo_path': None, 'name': 'TC Productions', 'origin_country': ''}, {'id': 69484, 'logo_path': '/2xtmvbEse87LM7OJXVksv7DToZx.png', 'name': 'Alibaba Pictures Group', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NO', 'name': 'Norway'}]",2018-07-13,791017452.0,148.0,Mission: Impossible - Fallout,7.3,4354.0
29,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",383498.0,tt5463162,Deadpool 2,37.664,"[{'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-10,741547413.0,121.0,Deadpool 2,7.5,9931.0
30,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",338952.0,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,28.354,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-14,653355901.0,134.0,Fantastic Beasts: The Crimes of Grindelwald,6.9,5757.0
31,140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",363088.0,tt5095030,Ant-Man and the Wasp,28.433,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-07-04,622674139.0,119.0,Ant-Man and the Wasp,7.0,7322.0
